,Risk,Latitude,Longitude
423,Risk 2 (Medium),41.94863688380228,-87.68845750645744
427,Risk 2 (Medium),41.9453094646909,-87.82042719380131
432,Risk 2 (Medium),41.946576955272015,-87.65618754109963
455,Risk 2 (Medium),41.77898662910161,-87.69475310591024
457,Risk 2 (Medium),41.72259146801053,-87.57429097892624
473,Risk 2 (Medium),41.94745757407912,-87.65689136051212
495,Risk 2 (Medium),41.801095034766824,-87.6767950278781
496,Risk 2 (Medium),41.946576955272015,-87.65618754109963
506,Risk 2 (Medium),41.986905524452354,-87.77782278908026
508,Risk 2 (Medium),41.735258526749796,-87.70463151056377
528,Risk 2 (Medium),41.979655104679864,-87.65981181140619
533,Risk 2 (Medium),41.9405864323035,-87.65101896155069
550,Risk 2 (Medium),41.9328407126909,-87.64851624582589
574,Risk 2 (Medium),41.76635935603738,-87.57539887870482
593,Risk 2 (Medium),41.902826063033366,-87.69560739209435
622,Risk 2 (Medium),41.85200736638126,-87.69586996792829
633,Risk 2 (Medium),41.99813502442985,-87.6946350511454
639,Risk 2 (Medium),42.00780441337071,-87.6658478386001
644,Risk 2 (Medium),41.84442752357007,-87.70332182067291
647,Risk 2 (Medium),41.72259146801053,-87.57429097892624
649,Risk 2 (Medium),41.87856015362371,-87.63652387205532
650,Risk 2 (Medium),41.895570010057476,-87.71637706926153
652,Risk 2 (Medium),42.008536400868735,-87.91442843927048
660,Risk 2 (Medium),41.74987081545715,-87.68680008233817
663,Risk 2 (Medium),41.87856015362371,-87.63652387205532
667,Risk 2 (Medium),42.008536400868735,-87.91442843927048
673,Risk 2 (Medium),41.85200736638126,-87.69586996792829
677,Risk 2 (Medium),41.75102047068192,-87.615102245534
692,Risk 2 (Medium),41.736759925543325,-87.58884170140198
698,Risk 2 (Medium),41.77900504590168,-87.69345011858015
705,Risk 2 (Medium),41.724809224398726,-87.6431577606974
713,Risk 2 (Medium),41.9655301285822,-87.65578592696129
720,Risk 2 (Medium),41.73625546179032,-87.62291750820593
722,Risk 2 (Medium),41.7365293485654,-87.62401813258253
729,Risk 2 (Medium),41.76539837042685,-87.72228675266516
730,Risk 2 (Medium),41.78381930335949,-87.6131888960692
731,Risk 2 (Medium),41.81915944426749,-87.66423535543835
734,Risk 2 (Medium),41.670394428489644,-87.6415137299169
750,Risk 2 (Medium),41.88332003340497,-87.63030327049951
755,Risk 2 (Medium),41.75848031626892,-87.61721089479008
759,Risk 2 (Medium),41.893735355324324,-87.63397876044762
776,Risk 2 (Medium),41.92411344379971,-87.69909050084559
779,Risk 2 (Medium),41.68721692727642,-87.64236462169072
786,Risk 2 (Medium),42.000912359817,-87.6605800477097
787,Risk 2 (Medium),41.85045102427,-87.65879785567869
820,Risk 2 (Medium),41.986905524452354,-87.77782278908026
825,Risk 2 (Medium),41.74987081545715,-87.68680008233817
838,Risk 2 (Medium),41.75015322520676,-87.70319151703785
853,Risk 2 (Medium),41.95364665191581,-87.71848490505018
854,Risk 2 (Medium),41.72103897212505,-87.64335011402456
879,Risk 2 (Medium),41.93103030354465,-87.77590313180973
882,Risk 2 (Medium),42.008536400868735,-87.91442843927048
885,Risk 2 (Medium),42.008536400868735,-87.91442843927048
891,Risk 2 (Medium),41.76915533533597,-87.6268126762725
914,Risk 2 (Medium),41.96548448947964,-87.65933488322489
916,Risk 2 (Medium),41.92411344379971,-87.69909050084559
927,Risk 2 (Medium),41.98352906115736,-87.65915456081615
931,Risk 2 (Medium),41.685029586669295,-87.64200453218888
934,Risk 2 (Medium),41.791887833521216,-87.66467701403849
945,Risk 2 (Medium),41.7510454052325,-87.68302046552975
975,Risk 2 (Medium),41.73637382027632,-87.62723156456728
980,Risk 2 (Medium),41.90946997358203,-87.74966585106277
981,Risk 2 (Medium),41.78381930335949,-87.6131888960692
982,Risk 2 (Medium),41.9691923029365,-87.72820341214991
984,Risk 2 (Medium),41.81097968500936,-87.66974853282517
987,Risk 2 (Medium),41.742420824438476,-87.6630911433338
1000,Risk 2 (Medium),41.93947783188248,-87.70128383087251
1005,Risk 2 (Medium),41.721073142167896,-87.66489837339607
1011,Risk 2 (Medium),41.70687109039425,-87.63791381851281
1017,Risk 2 (Medium),41.73637382027632,-87.62723156456728
1031,Risk 2 (Medium),41.86651663190526,-87.71938879163899
1033,Risk 2 (Medium),41.721901009676586,-87.62006368939045
1038,Risk 2 (Medium),41.7365293485654,-87.62401813258253
1043,Risk 2 (Medium),41.94871604741052,-87.65756297881094
1062,Risk 2 (Medium),42.008536400868735,-87.91442843927048
1067,Risk 2 (Medium),41.685029586669295,-87.64200453218888
1075,Risk 2 (Medium),41.735917053726595,-87.64683751776268
1078,Risk 2 (Medium),41.85045102427,-87.65879785567869
1080,Risk 2 (Medium),41.81915944426749,-87.66423535543835
1083,Risk 2 (Medium),41.79710973542942,-87.72312435052895
1092,Risk 2 (Medium),41.86651663190526,-87.71938879163899
1101,Risk 2 (Medium),41.70719854079396,-87.61416259374056
1104,Risk 2 (Medium),41.96307730336515,-87.65461381489362
1105,Risk 2 (Medium),41.72113428257886,-87.66019155516949
1107,Risk 2 (Medium),41.68927882135494,-87.62115618968048
1119,Risk 2 (Medium),41.9691923029365,-87.72820341214991
1127,Risk 2 (Medium),41.65367427506517,-87.59952683280298
1131,Risk 2 (Medium),41.76278384194664,-87.68333690607514
1136,Risk 2 (Medium),41.95111252904561,-87.66398208917064
1138,Risk 2 (Medium),41.68517594450479,-87.6258284603894
1145,Risk 2 (Medium),41.69273253129445,-87.70101405389029
1150,Risk 2 (Medium),41.76915533533597,-87.6268126762725
1158,Risk 2 (Medium),41.98352906115736,-87.65915456081615
1163,Risk 2 (Medium),41.97552942425021,-87.65999237688355
1178,Risk 2 (Medium),41.99813502442985,-87.6946350511454
1201,Risk 2 (Medium),41.75621188302043,-87.63213054212368
1212,Risk 2 (Medium),41.76501415513508,-87.64949225335809
1227,Risk 2 (Medium),41.81097968500936,-87.66974853282517
1243,Risk 2 (Medium),41.670394428489644,-87.6415137299169
1247,Risk 2 (Medium),41.771140704476146,-87.58641990922544
1259,Risk 2 (Medium),41.9907292179606,-87.68297945359863
1260,Risk 2 (Medium),41.85045102427,-87.65879785567869
1262,Risk 2 (Medium),41.68517594450479,-87.6258284603894
1270,Risk 2 (Medium),41.83040282260181,-87.69495246786789
1275,Risk 2 (Medium),41.903273561748186,-87.67874776316488
1280,Risk 2 (Medium),41.88743405025222,-87.68184949426895
1286,Risk 2 (Medium),41.94871604741052,-87.65756297881094
1305,Risk 2 (Medium),41.74270330807335,-87.70205643305741
1320,Risk 2 (Medium),41.72108059405499,-87.67996164669553
1325,Risk 2 (Medium),41.68927882135494,-87.62115618968048
1362,Risk 2 (Medium),41.70719854079396,-87.61416259374056
1363,Risk 2 (Medium),41.89499060703644,-87.62782919767417
1368,Risk 2 (Medium),41.964980646730034,-87.6570431978857
1371,Risk 2 (Medium),42.008536400868735,-87.91442843927048
1374,Risk 2 (Medium),41.964980646730034,-87.6570431978857
1385,Risk 2 (Medium),41.99079489723504,-87.67920712450828
1398,Risk 2 (Medium),41.87186697013989,-87.69589834683019
1404,Risk 2 (Medium),41.86558951464324,-87.77283829265612
1405,Risk 2 (Medium),41.677886324206774,-87.62517222058605
1412,Risk 2 (Medium),41.83040282260181,-87.69495246786789
1415,Risk 2 (Medium),41.758667911476415,-87.63127911992656
1424,Risk 2 (Medium),41.79225959424701,-87.79189431511125
1425,Risk 2 (Medium),41.85045102427,-87.65879785567869
1427,Risk 2 (Medium),41.85045102427,-87.65879785567869
1437,Risk 2 (Medium),41.895056247029906,-87.75491189738649
1439,Risk 2 (Medium),41.94142629278533,-87.69079930080058
1445,Risk 2 (Medium),41.89499060703644,-87.62782919767417
1482,Risk 2 (Medium),41.9907292179606,-87.68297945359863
1483,Risk 2 (Medium),42.008536400868735,-87.91442843927048
1488,Risk 2 (Medium),41.909739285933476,-87.72902158138616
1491,Risk 2 (Medium),41.69193962813465,-87.53205799000116
1497,Risk 2 (Medium),41.88743405025222,-87.68184949426895
1499,Risk 2 (Medium),41.85045102427,-87.65879785567869
1505,Risk 2 (Medium),41.8043447404251,-87.5903949382913
1520,Risk 2 (Medium),41.96049412246253,-87.77463843106312
1531,Risk 2 (Medium),41.9020340287756,-87.76571210902458
1538,Risk 2 (Medium),41.9655301285822,-87.65578592696129
1539,Risk 2 (Medium),41.685029586669295,-87.64200453218888
1542,Risk 2 (Medium),42.018494990194064,-87.67578802516351
1551,Risk 2 (Medium),41.737973780282466,-87.6435254107888
1560,Risk 2 (Medium),41.9679140724935,-87.71349831277435
1565,Risk 2 (Medium),41.721808764630616,-87.62524189468529
1568,Risk 2 (Medium),41.730406898724034,-87.54582297896137
1575,Risk 2 (Medium),41.70750956551268,-87.60818281887106
1581,Risk 2 (Medium),41.96975372057437,-87.68940343670431
1582,Risk 2 (Medium),41.88692306764254,-87.62527793861675
1584,Risk 2 (Medium),41.89579651244164,-87.67732279971978
1596,Risk 2 (Medium),41.74431594506596,-87.5688675876901
1599,Risk 2 (Medium),41.95213643037515,-87.74742887301954
1615,Risk 2 (Medium),41.96549703612735,-87.65840280954839
1633,Risk 2 (Medium),41.67775265604465,-87.63751201336868
1636,Risk 2 (Medium),41.702573275377226,-87.5250941359867
1639,Risk 2 (Medium),41.80940554037228,-87.60773720006983
1643,Risk 2 (Medium),41.88177941104997,-87.6543802690087
1661,Risk 2 (Medium),42.00862562618872,-87.67402714662754
1664,Risk 2 (Medium),41.745587569924425,-87.54777583836761
1665,Risk 2 (Medium),41.87186697013989,-87.69589834683019
1668,Risk 2 (Medium),41.96975372057437,-87.68940343670431
1681,Risk 2 (Medium),41.90946997358203,-87.74966585106277
1695,Risk 2 (Medium),41.73536134404252,-87.58501433108263
1707,Risk 2 (Medium),41.758667911476415,-87.63127911992656
1708,Risk 2 (Medium),41.735917053726595,-87.64683751776268
1710,Risk 2 (Medium),41.981180724878065,-87.8391675577046
1712,Risk 2 (Medium),41.7662898046204,-87.58231128994726
1717,Risk 2 (Medium),41.88177941104997,-87.6543802690087
1746,Risk 2 (Medium),41.997473444365156,-87.69828625157093
1747,Risk 2 (Medium),41.86578454122189,-87.6452147735033
1751,Risk 2 (Medium),41.86544307258498,-87.64520380565641
1753,Risk 2 (Medium),41.7950302941271,-87.79150778405935
1774,Risk 2 (Medium),41.76635856343218,-87.57556713119926
1791,Risk 2 (Medium),41.90905336260015,-87.80104727544314
1808,Risk 2 (Medium),41.939253344724186,-87.70278523303574
1823,Risk 2 (Medium),42.01248045740176,-87.80677569100311
1853,Risk 2 (Medium),41.75621188302043,-87.63213054212368
1856,Risk 2 (Medium),41.80051897472681,-87.73180108668276
1857,Risk 2 (Medium),41.79484655734578,-87.62585313886993
1863,Risk 2 (Medium),41.79599727119474,-87.64534767387217
1872,Risk 2 (Medium),41.71488533977168,-87.55962172308115
1875,Risk 2 (Medium),41.83040282260181,-87.69495246786789
1884,Risk 2 (Medium),42.00201709856038,-87.660908789659
1892,Risk 2 (Medium),41.816865148052045,-87.59868884416672
1895,Risk 2 (Medium),41.98582638690386,-87.66944490647181
1896,Risk 2 (Medium),41.909156995944656,-87.77452778151749
1899,Risk 2 (Medium),41.93301666690289,-87.66827260419502
1912,Risk 2 (Medium),41.736782316890434,-87.58712604619032
1915,Risk 2 (Medium),41.78594076910954,-87.71572304161569
1926,Risk 2 (Medium),41.96152004287502,-87.66634370710501
1947,Risk 2 (Medium),41.76020876166782,-87.65412933312717
1951,Risk 2 (Medium),41.99079489723504,-87.67920712450828
1953,Risk 2 (Medium),41.85802758971309,-87.65839396574155
1959,Risk 2 (Medium),41.74263536816081,-87.55986972603321
1966,Risk 2 (Medium),41.96787847112636,-87.72786949375143
1974,Risk 2 (Medium),41.80940554037228,-87.60773720006983
1981,Risk 2 (Medium),41.68517594450479,-87.6258284603894
2003,Risk 2 (Medium),41.9189010987926,-87.64717807164105
2006,Risk 2 (Medium),41.86544307258498,-87.64520380565641
2010,Risk 2 (Medium),42.008536400868735,-87.91442843927048
2011,Risk 2 (Medium),41.88311522138485,-87.62517250873418
2014,Risk 2 (Medium),41.789173982512565,-87.61989129248224
2020,Risk 2 (Medium),41.787467290199814,-87.62576654500704
2021,Risk 2 (Medium),41.76732820094002,-87.66400242735762
2034,Risk 2 (Medium),41.78665775989138,-87.66424586546837
2040,Risk 2 (Medium),41.96139418580068,-87.7129963224441
2047,Risk 2 (Medium),41.687568449316295,-87.62111015081878
2049,Risk 2 (Medium),41.92372038645528,-87.77549546183954
2072,Risk 2 (Medium),41.917243973803636,-87.72906371551686
2074,Risk 2 (Medium),41.9328286998427,-87.64508035101484
2079,Risk 2 (Medium),41.68424992938432,-87.64198089690962
2092,Risk 2 (Medium),41.799712759995224,-87.5844615242448
2102,Risk 2 (Medium),41.78665775989138,-87.66424586546837
2104,Risk 2 (Medium),41.8824566469275,-87.62770004682693
2108,Risk 2 (Medium),41.84446768480461,-87.71671532542946
2110,Risk 2 (Medium),41.71488533977168,-87.55962172308115
2111,Risk 2 (Medium),41.70750956551268,-87.60818281887106
2121,Risk 2 (Medium),41.88743405025222,-87.68184949426895
2124,Risk 2 (Medium),41.961226897918536,-87.71404962771335
2134,Risk 2 (Medium),41.744881331534856,-87.55018715029831
2140,Risk 2 (Medium),41.77898662910161,-87.69475310591024
2148,Risk 2 (Medium),41.84446768480461,-87.71671532542946
2159,Risk 2 (Medium),41.90399737868753,-87.63130110621994
2162,Risk 2 (Medium),41.866617682133004,-87.6961280297636
2163,Risk 2 (Medium),41.909156995944656,-87.77452778151749
2191,Risk 2 (Medium),41.98582638690386,-87.66944490647181
2195,Risk 2 (Medium),41.789173982512565,-87.61989129248224
2209,Risk 2 (Medium),41.787467290199814,-87.62576654500704
2210,Risk 2 (Medium),41.90991975403224,-87.73197125697024
2228,Risk 2 (Medium),41.692638562810416,-87.61238749553249
2247,Risk 2 (Medium),41.895664552515996,-87.70641147732479
2254,Risk 2 (Medium),41.73625546179032,-87.62291750820593
2265,Risk 2 (Medium),41.868783839019464,-87.68624468790968
2269,Risk 2 (Medium),41.99759201683797,-87.69166812188543
2281,Risk 2 (Medium),41.812105152977246,-87.67007183351623
2283,Risk 2 (Medium),41.89486671392807,-87.62262561802255
2286,Risk 2 (Medium),41.89408538066317,-87.62040431002174
2293,Risk 2 (Medium),41.73637382027632,-87.62723156456728
2295,Risk 2 (Medium),41.91031368817502,-87.69854906884152
2296,Risk 2 (Medium),41.78665775989138,-87.66424586546837
2302,Risk 2 (Medium),41.997473444365156,-87.69828625157093
2303,Risk 2 (Medium),41.87368288464604,-87.69622204230474
2308,Risk 2 (Medium),41.917243973803636,-87.72906371551686
2309,Risk 2 (Medium),41.96139418580068,-87.7129963224441
2311,Risk 2 (Medium),41.96020075528902,-87.76738159501566
2317,Risk 2 (Medium),41.73646911302717,-87.62302412422503
2338,Risk 2 (Medium),41.80842103384483,-87.67453769687005
2354,Risk 2 (Medium),41.816865148052045,-87.59868884416672
2358,Risk 2 (Medium),41.73679545764298,-87.58627250913064
2378,Risk 2 (Medium),41.87186697013989,-87.69589834683019
